CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
015194,PIEDMONT HEALTH CARE CENTER,30 ROUNDTREE DRIVE,PIEDMONT,AL,36272,"30 ROUNDTREE DRIVE,PIEDMONT,AL,36272",2026-04-01,
015195,VILLAGE AT COOK SPRINGS SKILLED NURSING FACILITY,415 COOK SPRINGS,PELL CITY,AL,35125,"415 COOK SPRINGS,PELL CITY,AL,35125",2026-04-01,
015196,DIVERSICARE OF LANETT,702 SOUTH 13TH STREET,LANETT,AL,36863,"702 SOUTH 13TH STREET,LANETT,AL,36863",2026-04-01,
015197,LAFAYETTE EXTENDED CARE,805 HOSPITAL STREET SOUTHWEST,LAFAYETTE,AL,36862,"805 HOSPITAL STREET SOUTHWEST,LAFAYETTE,AL,36862",2026-04-01,
015199,CROWNE HEALTH CARE OF EUFAULA,430 RIVERS AVENUE,EUFAULA,AL,36027,"430 RIVERS AVENUE,EUFAULA,AL,36027",2026-04-01,
015200,CHEROKEE COUNTY HEALTH AND REHABILITATION CENTER,877 CEDAR BLUFF ROAD,CENTRE,AL,35960,"877 CEDAR BLUFF ROAD,CENTRE,AL,35960",2026-04-01,
015202,MCGUFFEY HEALTH & REHABILITATION CENTER,2301 RAINBOW DRIVE,GADSDEN,AL,35999,"2301 RAINBOW DRIVE,GADSDEN,AL,35999",2026-04-01,
015203,ATTALLA CENTER FOR REHABILITATION AND NURSING,915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954,"915 STEWART AVENUE SOUTHEAST,ATTALLA,AL,35954",2026-04-01,
015207,COLLINSVILLE HEALTHCARE & REHAB,685 NORTH VALLEY AVE,COLLINSVILLE,AL,35961,"685 NORTH VALLEY AVE,COLLINSVILLE,AL,35961",2026-04-01,
015208,"OZARK HEALTH AND REHABILITATION, LLC",312 BRYAN DRIVE,OZARK,AL,36360,"312 BRYAN DRIVE,OZARK,AL,36360",2026-04-01,
015209,DIVERSICARE OF BESSEMER,820 GOLF COURSE ROAD,BESSEMER,AL,35020,"820 GOLF COURSE ROAD,BESSEMER,AL,35020",2026-04-01,
015210,"OPP HEALTH AND REHABILITATION, LLC",115 PAULK AVENUE,OPP,AL,36467,"115 PAULK AVENUE,OPP,AL,36467",2026-04-01,
015211,TWIN OAKS REHABILITATION AND HEALTHCARE CENTER,857 CRAWFORD LANE,MOBILE,AL,36617,"857 CRAWFORD LANE,MOBILE,AL,36617",2026-04-01,
015212,SELF SKILLED NURSING & REHAB,131 EAST CREST ROAD,HUEYTOWN,AL,35023,"131 EAST CREST ROAD,HUEYTOWN,AL,35023",2026-04-01,
